"Item";"CCODCON";"CDESCON";"LGRPCON";"LTERCON";"LOTRMON";"CNATCON";"LLIGCRE";"LLIGTES";"LCENCUS";"LIVA";"LCTRIMP";"CSTRCON";"CCODIVA";"NTIPCRE";"CNATSAL";"COPER";"CTIME";"DDATE"
37;"21214";"CLIENTES - EMPRESAS ASSOCIADAS";"False";"True";"False";"";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
38;"21215";"CLIENTES - EMPREENDIMENTOS CONJUNTOS";"False";"True";"False";"";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
39;"21216";"CLIENTES - OUTRAS PARTES RELACIONADAS";"False";"True";"False";"";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
40;"2122";"CLIENTES - TITULOS A RECEBER EM MOEDA ESTRANGEIRAS";"True";"False";"False";"3";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
41;"21221";"CLIENTES GERAIS";"False";"True";"False";"";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
42;"21222";"CLIENTES - EMPRESA-MAE";"False";"True";"False";"";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
43;"21223";"CLIENTES - EMPRESAS SUBSIDIARIAS";"False";"True";"False";"";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
44;"21224";"CLIENTES - EMPRESAS ASSOCIADAS";"False";"True";"False";"";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
45;"21225";"CLIENTES - EMPREENDIMENTOS CONJUNTOS";"False";"True";"False";"";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
46;"21226";"CLIENTES - OUTRAS PARTES RELACIONADAS";"False";"True";"False";"";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
47;"216";"CLIENTES POR ACRESCIMO DE RENDIMENTO";"False";"False";"False";"";"False";"False";"False";"False";"False";"X.X.X.X.X.XX.XX.XX";"";0;"";"";"";""
